time,temperature_2m (буC),rain (mm),showers (mm),precipitation (mm),windspeed_10m (m/s),windspeed_100m (m/s),winddirection_10m (бу),windgusts_10m (m/s),winddirection_100m (бу),weathercode (wmo code),pressure_msl (hPa),surface_pressure (hPa),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),apparent_temperature (буC),dewpoint_2m (буC),relativehumidity_2m (%),snowfall (cm),soil_temperature_0_to_7cm (буC),soil_temperature_7_to_28cm (буC),soil_temperature_28_to_100cm (буC),soil_temperature_100_to_255cm (буC),soil_moisture_0_to_7cm (m3/m3),soil_moisture_7_to_28cm (m3/m3),soil_moisture_28_to_100cm (m3/m3),soil_moisture_100_to_255cm (m3/m3)
2025-08-08T05:00,26.1,0,0,0,1.15,2.32,268,3.1,263,3,1008.5,1004.4,99,70,0,97,0,0.2,32.3,25.1,94,0,27.2,27.7,27.4,26.1,0.317,0.327,0.342,0.297
2025-08-08T06:00,27.9,0,0,0,1.15,1.99,304,3.2,298,3,1008.5,1004.4,99,68,0,97,0.02,0.36,34.8,26.2,90,0,28.8,27.8,27.4,26.1,0.317,0.326,0.342,0.297
2025-08-08T07:00,28.5,0,0,0,0.97,1.76,282,3.6,285,3,1008.7,1004.6,93,29,0,93,0.06,0.51,35.4,26.1,87,0,28.7,27.8,27.4,26.1,0.317,0.326,0.342,0.297
2025-08-08T08:00,29,0,0,0,1.12,1.4,260,3.9,268,3,1009.2,1005.1,93,1,0,93,0.2,0.62,35.9,26.1,84,0,28.6,27.7,27.4,26.1,0.317,0.326,0.342,0.297
2025-08-08T09:00,29.6,0,0,0,1.41,1.66,243,4.2,249,3,1009.2,1005.1,94,0,0,94,0.36,0.82,36,25.8,80,0,28.4,27.7,27.4,26.1,0.315,0.325,0.341,0.297
2025-08-08T10:00,32.3,0,0,0,1.75,2.11,233,4.6,239,3,1009.4,1005.3,90,0,0,90,0.54,1.57,39.3,25.5,67,0,30.6,27.8,27.4,26.1,0.314,0.324,0.341,0.297
2025-08-08T11:00,32.6,0,0,0,2.16,2.6,228,5,232,3,1009.5,1005.4,93,1,1,93,0.65,1.65,40.4,25.6,67,0,30.3,27.9,27.4,26.1,0.312,0.323,0.341,0.297
2025-08-08T12:00,32.9,0,0,0,2.61,3.14,212,5.5,217,3,1008.8,1004.8,93,7,9,92,0.71,1.74,40.8,25.5,65,0,30.5,28,27.4,26.1,0.309,0.322,0.341,0.297
2025-08-08T13:00,34.1,0,0,0,3.1,3.82,201,6.2,206,3,1008.2,1004.2,97,5,3,97,0.74,2.1,41.6,25.4,61,0,30.9,28.2,27.4,26.1,0.307,0.321,0.34,0.297
2025-08-08T14:00,33.9,0,0,0,3.66,4.62,194,7.3,198,3,1007.8,1003.8,90,4,9,88,0.68,2.01,40.8,25.6,62,0,31.2,28.4,27.4,26.1,0.304,0.32,0.34,0.298
2025-08-08T15:00,33.6,0,0,0,3.96,5.24,190,7.2,193,3,1007.6,1003.6,95,3,7,94,0.56,1.86,39.6,25.9,64,0,31.2,28.5,27.4,26.1,0.303,0.32,0.34,0.298
2025-08-08T16:00,33,0,0,0,3.95,5.3,189,7.2,191,3,1007.3,1003.3,97,0,1,97,0.44,1.59,38.6,26.4,68,0,31,28.7,27.4,26.1,0.301,0.319,0.34,0.298
2025-08-08T17:00,32.2,0,0,0,3.62,5.12,186,6.6,190,3,1007.5,1003.5,97,3,4,97,0.32,1.35,38,26.5,72,0,30.7,28.8,27.4,26.1,0.3,0.318,0.34,0.298
2025-08-08T18:00,30.4,0,0,0,2.75,4.62,180,5.6,185,3,1007.4,1003.3,100,1,63,100,0.15,0.88,36.6,26.5,80,0,30.3,28.8,27.4,26.1,0.3,0.316,0.339,0.298
2025-08-08T19:00,29.5,0,0,0,2.41,4.65,174,4.3,179,3,1007.3,1003.2,98,3,50,98,0.04,0.67,36,26.5,84,0,29.9,28.9,27.4,26.1,0.3,0.316,0.339,0.298
2025-08-08T20:00,29.2,0,0,0,2.16,4.4,176,4.1,181,3,1008.2,1004.1,98,2,27,97,0.01,0.64,35.6,26.3,84,0,30.3,28.9,27.4,26.1,0.301,0.316,0.339,0.298
2025-08-08T21:00,28.9,0,0,0,1.87,3.66,172,3.8,190,3,1008.8,1004.7,100,1,9,99,0.01,0.61,35.3,26,85,0,30.3,28.8,27.4,26.1,0.301,0.316,0.339,0.298
2025-08-08T22:00,28.2,0,0,0,1.45,3.21,182,3.7,198,3,1009.2,1005.1,100,0,4,100,0,0.53,34.6,25.7,86,0,29.5,28.8,27.4,26.1,0.301,0.316,0.339,0.298
